character,season,mot_1,score_1,mot_2,score_2,mot_3,score_3,mot_4,score_4,mot_5,score_5,mot_6,score_6,mot_7,score_7,mot_8,score_8,mot_9,score_9,mot_10,score_10,mot_1_filtre,score_1_filtre,mot_2_filtre,score_2_filtre,mot_3_filtre,score_3_filtre,mot_4_filtre,score_4_filtre,mot_5_filtre,score_5_filtre,mot_6_filtre,score_6_filtre,mot_7_filtre,score_7_filtre,mot_8_filtre,score_8_filtre,mot_9_filtre,score_9_filtre,mot_10_filtre,score_10_filtre
Chandler,ALL,eddie,0.2884089518414852,closet,0.21251185925162067,cameras,0.18215302221567486,pack,0.16697360369770195,dum,0.16697360369770195,mary,0.15179418517972906,gum,0.15179418517972906,puts,0.15179418517972906,sperm,0.15179418517972906,growing,0.15179418517972906,closet,0.22807232435787606,cameras,0.19549056373532234,dum,0.17919968342404546,pack,0.17919968342404546,sperm,0.16290880311276862,puts,0.16290880311276862,mary,0.16290880311276862,growing,0.16290880311276862,gum,0.16290880311276862,lovely,0.14661792280149175
Joey,ALL,scene,0.3321640231285792,agent,0.22836276590089816,remoray,0.18684226300982576,fridge,0.17646213728705767,thursday,0.1660820115642896,estelle,0.1660820115642896,comin,0.15570188584152148,character,0.15570188584152148,knicks,0.1453217601187534,porsche,0.1453217601187534,scene,0.34079213077456433,agent,0.23429458990751298,remoray,0.19169557356069244,fridge,0.1810458194739873,thursday,0.17039606538728216,character,0.15974631130057704,comin,0.15974631130057704,knicks,0.14909655721387188,twin,0.14909655721387188,porsche,0.14909655721387188
Ross,ALL,susan,0.3745888167763052,correct,0.276012812361488,professor,0.21686720971259774,elizabeth,0.1971520088296343,museum,0.17743680794667085,paleontology,0.15772160706370744,hanukkah,0.138006406180744,holiday,0.1281488057392623,twice,0.1281488057392623,breast,0.11829120529778057,correct,0.3046539295835556,professor,0.23937094467279368,museum,0.19584895473228572,paleontology,0.17408795976203176,hanukkah,0.1523269647917778,twice,0.1414464673066508,holiday,0.1414464673066508,breast,0.13056596982152383,team,0.13056596982152383,bottle,0.11968547233639684
Rachel,ALL,barry,0.3395757952184672,joshua,0.3196007484409103,ralph,0.30961322505213185,tag,0.2496880847194612,lauren,0.2496880847194612,amy,0.21972551455312583,paolo,0.19975046777556896,mindy,0.17977542099801205,gavin,0.15980037422045515,shoe,0.1498128508316767,ralph,0.42706855400474064,lauren,0.34441012419737155,shoe,0.20664607451842293,desk,0.20664607451842293,copy,0.20664607451842293,soo,0.19286966955052806,paris,0.16531685961473833,danny,0.16531685961473833,yelling,0.15154045464684346,kitty,0.15154045464684346
Phoebe,ALL,frank,0.4015287192394122,massage,0.361375847315471,smelly,0.3312611933725151,buffay,0.2509554495246326,killed,0.1907261416387208,ursula,0.1706497056767502,alice,0.1706497056767502,birth,0.15057326971477958,guitar,0.14053505173379427,singing,0.13049683375280896,frank,0.4324134811977011,massage,0.389172133077931,smelly,0.3567411219881035,killed,0.20539640356890804,alice,0.183775729509023,birth,0.1621550554491379,guitar,0.1513447184191954,singing,0.14053438138925287,jack,0.14053438138925287,songs,0.12972404435931034
Monica,ALL,pete,0.39044790654240036,adoption,0.1867359553028871,michelle,0.1867359553028871,hates,0.1867359553028871,bath,0.169759959366261,erica,0.169759959366261,nana,0.169759959366261,potatoes,0.169759959366261,plates,0.169759959366261,borrowed,0.169759959366261,hates,0.22044132441545564,adoption,0.22044132441545564,bath,0.20040120401405057,plates,0.20040120401405057,potatoes,0.20040120401405057,borrowed,0.20040120401405057,pounds,0.18036108361264552,wild,0.18036108361264552,flight,0.18036108361264552,taste,0.16032096321124045
Chandler,S02,susie,0.18831089428867698,snake,0.15064871543094158,fruit,0.15064871543094158,falls,0.15064871543094158,congratulations,0.15064871543094158,bud,0.11298653657320619,tailor,0.11298653657320619,underpants,0.11298653657320619,growing,0.11298653657320619,eats,0.11298653657320619,susie,0.1897974045002805,congratulations,0.15183792360022438,falls,0.15183792360022438,fruit,0.15183792360022438,snake,0.15183792360022438,eats,0.11387844270016828,underpants,0.11387844270016828,bud,0.11387844270016828,growing,0.11387844270016828,brilliance,0.07591896180011219
Joey,S02,bijan,0.36410102732822996,lady,0.20227834851568333,scene,0.16182267881254667,peeking,0.16182267881254667,willing,0.16182267881254667,remoray,0.16182267881254667,goo,0.16182267881254667,acting,0.12136700910940999,processing,0.12136700910940999,outta,0.12136700910940999,bijan,0.36410102732822996,lady,0.20227834851568333,willing,0.16182267881254667,goo,0.16182267881254667,peeking,0.16182267881254667,scene,0.16182267881254667,remoray,0.16182267881254667,acting,0.12136700910940999,neurosurgeon,0.12136700910940999,naked,0.12136700910940999
Ross,S02,toy,0.187382922248965,thro,0.187382922248965,waved,0.149906337799172,scotch,0.149906337799172,jungle,0.149906337799172,messages,0.11242975334937899,thquirt,0.11242975334937899,whad,0.11242975334937899,hans,0.11242975334937899,goodnight,0.11242975334937899,toy,0.18751465015433696,thro,0.18751465015433696,waved,0.15001172012346958,scotch,0.15001172012346958,jungle,0.15001172012346958,thquirt,0.11250879009260219,messages,0.11250879009260219,goodnight,0.11250879009260219,whad,0.11250879009260219,hans,0.11250879009260219
Rachel,S02,paolo,0.29524069878307346,copa,0.24603391565256122,adding,0.19682713252204898,pigeon,0.14762034939153673,clobbered,0.14762034939153673,clean,0.14762034939153673,market,0.09841356626102449,wineburg,0.09841356626102449,pillow,0.09841356626102449,reasons,0.09841356626102449,copa,0.2578553115646981,adding,0.20628424925175848,pigeon,0.15471318693881886,clobbered,0.15471318693881886,clean,0.15471318693881886,market,0.10314212462587924,pillow,0.10314212462587924,shoulders,0.10314212462587924,lands,0.10314212462587924,reasons,0.10314212462587924
