season,character,phrase,count
1,Phoebe,oh my god,117
1,Phoebe,i don't know,45
1,Phoebe,you know what,19
1,Phoebe,what is that,10
1,Phoebe,what's going on,10
1,Rachel,oh my god,163
1,Rachel,i don't know,70
1,Rachel,you know what,52
1,Rachel,wait a minute,36
1,Rachel,) oh my god,17
1,Ross,oh my god,76
1,Ross,i don't know,58
1,Ross,you know what,38
1,Ross,wait a minute,26
1,Ross,what's going on,19
1,Chandler,oh my god,44
1,Chandler,i don't know,37
1,Chandler,here we go,17
1,Chandler,you know what,15
1,Chandler,wait a minute,15
1,Monica,oh my god,153
1,Monica,i don't know,35
1,Monica,what are you doing,27
1,Monica,wait a minute,27
1,Monica,you know what,25
1,Joey,i don't know,62
1,Joey,oh my god,35
1,Joey,check it out,29
1,Joey,wait a minute,17
1,Joey,what are you doing,14
2,Phoebe,oh my god,115
2,Phoebe,i don't know,39
2,Phoebe,you know what,19
2,Phoebe,good for you,9
2,Phoebe,what is that,9
2,Rachel,oh my god,155
2,Rachel,i don't know,68
2,Rachel,you know what,48
2,Rachel,wait a minute,32
2,Rachel,) oh my god,16
2,Ross,oh my god,74
2,Ross,i don't know,58
2,Ross,you know what,35
2,Ross,wait a minute,24
2,Ross,what's going on,17
2,Chandler,oh my god,37
2,Chandler,i don't know,36
2,Chandler,here we go,17
2,Chandler,you know what,15
2,Chandler,wait a minute,15
2,Monica,oh my god,147
2,Monica,i don't know,35
2,Monica,what are you doing,27
2,Monica,wait a minute,26
2,Monica,you know what,24
2,Joey,i don't know,59
2,Joey,oh my god,33
2,Joey,check it out,26
2,Joey,wait a minute,17
2,Joey,what are you doing,12
3,Phoebe,oh my god,117
3,Phoebe,i don't know,47
3,Phoebe,you know what,19
3,Phoebe,what is that,10
3,Phoebe,what's going on,10
3,Rachel,oh my god,163
3,Rachel,i don't know,75
3,Rachel,you know what,52
3,Rachel,wait a minute,36
3,Rachel,) oh my god,17
3,Ross,oh my god,76
3,Ross,i don't know,58
3,Ross,you know what,38
3,Ross,wait a minute,26
3,Ross,what's going on,19
3,Chandler,oh my god,44
3,Chandler,i don't know,38
3,Chandler,here we go,17
3,Chandler,you know what,15
3,Chandler,wait a minute,15
3,Monica,oh my god,153
3,Monica,i don't know,35
3,Monica,what are you doing,27
3,Monica,wait a minute,27
3,Monica,you know what,25
3,Joey,i don't know,62
