character,season,mot_1,score_1,mot_2,score_2,mot_3,score_3,mot_4,score_4,mot_5,score_5,mot_6,score_6,mot_7,score_7,mot_8,score_8,mot_9,score_9,mot_10,score_10,emotion
Chandler,ALL,joy,ring,0.42503183142341555,janice,0.3596423188967362,door,0.24521067197504742,bing,0.24521067197504742,sir,0.21251591571170778,richard,0.21251591571170778,run,0.21251591571170778,kathy,0.19616853758003794,unless,0.1634737813166983,tulsa,0.1634737813166983
Joey,ALL,joy,audition,0.34861374829002684,doin,0.3237127662693106,tribbiani,0.2739108022278782,actor,0.21165834717608772,lives,0.1992078561657296,scene,0.17430687414501342,agent,0.17430687414501342,acting,0.1618563831346553,duck,0.1618563831346553,looked,0.14940589212429722
Ross,ALL,joy,carol,0.3462882894815818,correct,0.31858522632305525,susan,0.26317910000600214,favorite,0.20777297368894906,incredible,0.18006991053042254,hanukkah,0.18006991053042254,elizabeth,0.18006991053042254,son,0.16621837895115926,feeling,0.16621837895115926,marcel,0.15236684737189599
Rachel,ALL,joy,joshua,0.26910670285867816,barry,0.25415633047764047,ralph,0.2392059580966028,ugh,0.2392059580966028,cat,0.2392059580966028,tag,0.22425558571556511,lauren,0.20930521333452745,daddy,0.20930521333452745,amy,0.20930521333452745,blah,0.1943548409534898
Phoebe,ALL,joy,frank,0.3601612606440382,massage,0.3601612606440382,yay,0.32224954899729735,buffay,0.2464261257038156,david,0.2464261257038156,set,0.18955855823370432,oooh,0.18955855823370432,exciting,0.18955855823370432,alice,0.18955855823370432,jack,0.18955855823370432
Monica,ALL,joy,dress,0.26130983196739516,guest,0.26130983196739516,restaurant,0.2412090756622109,invited,0.2412090756622109,chef,0.22110831935702666,turkey,0.22110831935702666,boots,0.22110831935702666,boyfriend,0.22110831935702666,bucks,0.18090680674665816,list,0.18090680674665816
Chandler,S09,joy,pack,0.14603771505337032,picturing,0.09735847670224688,possibly,0.09735847670224688,rooms,0.09735847670224688,pays,0.09735847670224688,specimen,0.09735847670224688,rolling,0.09735847670224688,mindset,0.09735847670224688,younger,0.09735847670224688,young,0.09735847670224688
Joey,S09,joy,extras,0.23132597278649597,carry,0.17349447958987196,knicks,0.17349447958987196,weekends,0.11566298639324799,famous,0.11566298639324799,dirk,0.11566298639324799,waiter,0.11566298639324799,taped,0.11566298639324799,hot,0.11566298639324799,hooked,0.11566298639324799
Ross,S09,joy,keynote,0.1975459193299176,paleontology,0.1481594394974382,mesozoic,0.1481594394974382,conference,0.1481594394974382,butts,0.1481594394974382,blah,0.1481594394974382,sherman,0.0987729596649588,plans,0.0987729596649588,maple,0.0987729596649588,plenty,0.0987729596649588
Rachel,S09,joy,gleba,0.2961744388795459,presentation,0.23693955110363674,mum,0.17770466332772755,judy,0.17770466332772755,zelner,0.11846977555181837,steve,0.11846977555181837,hair,0.11846977555181837,goodnight,0.11846977555181837,disease,0.11846977555181837,creep,0.11846977555181837
