character,season,mot_1,score_1,mot_2,score_2,mot_3,score_3,mot_4,score_4,mot_5,score_5,mot_6,score_6,mot_7,score_7,mot_8,score_8,mot_9,score_9,mot_10,score_10,mot_1_filtre,score_1_filtre,mot_2_filtre,score_2_filtre,mot_3_filtre,score_3_filtre,mot_4_filtre,score_4_filtre,mot_5_filtre,score_5_filtre,mot_6_filtre,score_6_filtre,mot_7_filtre,score_7_filtre,mot_8_filtre,score_8_filtre,mot_9_filtre,score_9_filtre,mot_10_filtre,score_10_filtre
Chandler,ALL,kathy,0.2016806817079943,tulsa,0.19264685338334817,eddie,0.178547627331864,chick,0.13870573443601067,closet,0.10788223789467496,dum,0.10336967898160547,angela,0.10017636375934105,duck,0.09758742663290047,gym,0.09758742663290047,growing,0.09397243543782315,chick,0.15010226425233858,closet,0.11674620552959668,dum,0.11186287959373722,gym,0.10560553793769037,duck,0.10560553793769037,growing,0.10169352690339747,cameras,0.10006817616822573,fish,0.0915247995459983,merry,0.09152417421305772,smoking,0.08448443035015228
Joey,ALL,scene,0.18951450219628801,agent,0.18819714341968277,drake,0.17536857931999683,duck,0.159902861228118,remoray,0.15397948097974046,character,0.12831623414978371,comin,0.12831623414978371,chick,0.1262653771103977,fridge,0.11925063393759786,thursday,0.11223589076479798,scene,0.1943236655109319,agent,0.19297287713697525,drake,0.17981877246317604,duck,0.16396059277484878,remoray,0.15788689947570703,character,0.13157241622975585,comin,0.13157241622975585,chick,0.12946951617348676,fridge,0.12227676527495972,thursday,0.11508401437643268
Ross,ALL,susan,0.2639070791988159,mark,0.1736230784202736,correct,0.164174677006958,professor,0.15278830900984078,elizabeth,0.1388984627362189,paleontology,0.13550833136027174,mona,0.1289943890768956,hanukkah,0.11856978994023777,department,0.10417384705216418,bike,0.10417384705216418,correct,0.17721299256630266,professor,0.16492234955109025,paleontology,0.14627004210279132,hanukkah,0.1279862868399424,bike,0.11244705651210699,department,0.11244705651210699,evolution,0.10056065394566903,student,0.10056065394566903,twice,0.09745411564382607,gentlemen,0.09141877631424457
Rachel,ALL,joshua,0.2865002743586337,barry,0.21074443016113018,mark,0.19822583538336308,ralph,0.19214933338220697,tag,0.1835424401697806,amy,0.16151734734940695,mindy,0.16115640432673145,gavin,0.14325013717931684,assistant,0.13215055692224204,paolo,0.12396731185948835,ralph,0.2343820321047783,assistant,0.16119606313493165,desk,0.13433005261244305,kitty,0.12013047165720146,copy,0.11341066069586046,shoe,0.11341066069586046,gosh,0.11341066069586046,danny,0.10746404208995446,interview,0.1058499499828031,jill,0.09828923926974573
Phoebe,ALL,smelly,0.31097631936937714,frank,0.30909700661915934,buffay,0.16310058256718266,killed,0.1468210781441007,ursula,0.13136622781314272,alice,0.13136622781314272,birth,0.11591137748218475,client,0.11308229795250077,songs,0.11308229795250077,minsk,0.11308229795250077,smelly,0.3523930492540933,killed,0.16637513598107123,birth,0.1313487915640036,client,0.12814292700148847,songs,0.12814292700148847,guitar,0.12259220545973669,meat,0.11089367526605626,bam,0.1067857725012404,singing,0.09610785189724874,hannigan,0.09610719525111636
Monica,ALL,guest,0.14391959071479532,chip,0.13035678789587182,potatoes,0.1222837840656256,erica,0.1222837840656256,plates,0.1222837840656256,tulsa,0.12032934267311246,boots,0.11852201588277263,michelle,0.11030189745035308,adoption,0.11030189745035308,gosh,0.11005615760543172,guest,0.1498700586015728,chip,0.13574649110684756,plates,0.12733970262780456,potatoes,0.12733970262780456,boots,0.12342240120129525,adoption,0.11486241555194793,gosh,0.11460651540120272,pounds,0.11460573236502411,wild,0.11460573236502411,bath,0.10442037777449811
Chandler,S02,eddie,0.38799125452295635,fish,0.20420592343313493,bracelet,0.16745177842140072,talking,0.16336473874650795,run,0.16336473874650795,room,0.1555117272847672,crazy,0.14294414640319444,walks,0.13396142273712058,heckles,0.13396142273712058,woman,0.1272368677784459,fish,0.2243190876479605,bracelet,0.18394486080036032,talking,0.17945527011836837,run,0.17945527011836837,room,0.17082878006964328,crazy,0.15702336135357234,heckles,0.14715588864028825,walks,0.14715588864028825,woman,0.13976900187516267,stay,0.13459145258877628
Joey,S02,joseph,0.28617232228317296,men,0.2601566566210663,somethin,0.23414099095895968,bijan,0.23414099095895968,woah,0.21613162219567644,juice,0.20812532529685304,doin,0.19199896201965427,check,0.19199896201965427,days,0.18210965963474643,lives,0.18210965963474643,men,0.27259493410291136,somethin,0.2453354406926202,bijan,0.2453354406926202,woah,0.22646503101322132,juice,0.21807594728232907,doin,0.2011785709400793,check,0.2011785709400793,lives,0.19081645387203794,days,0.19081645387203794,kinda,0.17882539639118158
Ross,S02,rach,0.31444650377976835,marcel,0.2334132691084524,bye,0.19622238557732205,wha,0.18339614001378401,monkey,0.18339614001378401,whoa,0.16405904545031394,hold,0.16159490576955934,tonight,0.13850991923105088,sister,0.13337901091911564,miss,0.13337901091911564,bye,0.21900158707938103,wha,0.20468635935232937,monkey,0.20468635935232937,whoa,0.18310444663404138,hold,0.18035424818301968,tonight,0.15458935558544545,evolution,0.1488628068016941,sister,0.1488628068016941,miss,0.1488628068016941,stand,0.13025495595148232
Rachel,S02,honey,0.3726592034024147,bye,0.2949604745712307,asking,0.22722725752466807,purse,0.22722725752466807,cute,0.19882385033408456,ben,0.1769762847427384,paolo,0.17042044314350105,pot,0.17042044314350105,care,0.17042044314350105,happen,0.16303840148855642,honey,0.38711113124569,bye,0.30639920319030783,purse,0.23603925492011618,asking,0.23603925492011618,cute,0.20653434805510165,pot,0.17702944119008712,care,0.17702944119008712,happen,0.16936111991998937,date,0.16936111991998937,night,0.16341290836816416
