character,season,mot_1,score_1,mot_2,score_2,mot_3,score_3,mot_4,score_4,mot_5,score_5,mot_6,score_6,mot_7,score_7,mot_8,score_8,mot_9,score_9,mot_10,score_10
Chandler,ALL,ring,0.3455186447128161,joe,0.2942275479686728,janice,0.29236193014161366,bing,0.1993376796420093,door,0.1993376796420093,rest,0.18525438205434952,run,0.17275932235640806,richard,0.17275932235640806,sir,0.17275932235640806,kathy,0.15947014371360743
Joey,ALL,audition,0.2982228656817364,doin,0.2769212324187552,tribbiani,0.23431796589279288,dude,0.2096117279967917,actor,0.18106388273533996,lives,0.17041306610384938,agent,0.1491114328408682,scene,0.1491114328408682,buddy,0.13974115199786113,duck,0.1384606162093776
Ross,ALL,emily,0.36143166307216584,carol,0.27547664472203914,correct,0.253438513144276,susan,0.20936224998874975,sister,0.19878741468969122,favorite,0.16528598683322349,hmm,0.16264424838247463,matter,0.14457266522886636,elizabeth,0.14324785525546035,hanukkah,0.14324785525546035
Rachel,ALL,joshua,0.24129746785832318,barry,0.22789205297730522,ugh,0.21448663809628726,ralph,0.21448663809628726,cat,0.21448663809628726,tag,0.2010812232152693,lauren,0.18767580833425135,daddy,0.18767580833425135,amy,0.18767580833425135,blah,0.1742703934532334
Phoebe,ALL,mike,0.46762805292283716,massage,0.2708773782728472,frank,0.2708773782728472,yay,0.24236397003360013,david,0.185337153555106,buffay,0.185337153555106,song,0.17536051984606393,playing,0.15197911719992208,set,0.14256704119623537,jack,0.14256704119623537
Monica,ALL,guest,0.22318269059508172,dress,0.22318269059508172,invited,0.20601479131853698,restaurant,0.20601479131853698,chef,0.1888468920419922,boots,0.1888468920419922,turkey,0.1888468920419922,boyfriend,0.1888468920419922,geller,0.18301299896061454,family,0.18301299896061454
Chandler,S09,tulsa,0.29766905348222705,merry,0.14883452674111353,advice,0.11906762139289083,oklahoma,0.11906762139289083,door,0.11906762139289083,putting,0.11906762139289083,pack,0.10890141242483845,career,0.08930071604466813,zack,0.08930071604466813,knock,0.08930071604466813
Joey,S09,hugsy,0.2986280056088116,extras,0.18208707074725572,pretend,0.1493140028044058,knicks,0.1365653030604418,carry,0.1365653030604418,whoa,0.11198550210330434,lady,0.11198550210330434,takes,0.11198550210330434,birth,0.09104353537362786,famous,0.09104353537362786
Ross,S09,keynote,0.16172648701228953,professor,0.13261803287954554,daddy,0.13261803287954554,yep,0.13261803287954554,conference,0.12129486525921715,butts,0.12129486525921715,mesozoic,0.12129486525921715,paleontology,0.12129486525921715,blah,0.12129486525921715,alive,0.09946352465965916
Rachel,S09,amy,0.28501712630163395,gavin,0.28501712630163395,gleba,0.21723487359826255,presentation,0.17378789887861004,green,0.14250856315081697,mother,0.14250856315081697,hugsy,0.14250856315081697,judy,0.13034092415895754,mum,0.13034092415895754,disease,0.08689394943930502
