character,season,mot_1,freq_1,mot_2,freq_2,mot_3,freq_3,mot_4,freq_4,mot_5,freq_5,mot_6,freq_6,mot_7,freq_7,mot_8,freq_8,mot_9,freq_9,mot_10,freq_10
Chandler,ALL,yeah,544,hey,507,gonna,396,uh,308,joey,249,monica,213,time,180,ross,174,guys,160,love,136
Joey,ALL,hey,1074,yeah,964,uh,504,gonna,375,ross,334,chandler,229,guys,229,huh,184,guy,170,wait,141
Monica,ALL,gonna,431,hey,410,yeah,407,god,316,chandler,298,phoebe,261,joey,240,ross,211,rachel,204,wait,182
Phoebe,ALL,yeah,777,hey,455,gonna,355,god,277,guys,202,umm,190,ooh,187,ross,186,monica,182,wait,161
Rachel,ALL,yeah,784,gonna,549,ross,525,god,475,hey,394,joey,346,uh,332,guys,264,monica,241,phoebe,213
Ross,ALL,yeah,835,uh,761,hey,758,gonna,401,guys,271,rachel,250,joey,188,time,185,huh,175,god,172
Chandler,S01,hey,42,yeah,37,uh,36,gonna,35,guy,24,alright,21,joey,20,janice,19,god,18,guys,17
Chandler,S02,uh,60,hey,53,yeah,44,joey,43,gonna,30,ya,25,guys,21,alright,21,eddie,19,time,16
Chandler,S03,yeah,63,hey,61,gonna,44,janice,20,joey,20,guy,19,wanna,15,chick,15,ross,15,guys,14
Chandler,S04,hey,65,yeah,61,gonna,54,uh,44,joey,42,kathy,30,time,27,ross,21,guys,21,ya,14
Chandler,S05,yeah,83,hey,55,gonna,34,uh,34,joey,32,ross,31,monica,30,lot,20,time,20,love,20
Chandler,S06,yeah,82,hey,81,gonna,62,uh,50,monica,40,joey,29,god,25,guys,24,guy,21,ross,20
Chandler,S07,yeah,46,monica,46,hey,40,uh,36,gonna,32,love,28,ross,24,joey,23,wedding,23,time,18
Chandler,S08,yeah,34,hey,27,gonna,24,uh,20,honey,18,monica,15,time,14,god,14,picture,14,love,13
Chandler,S09,yeah,63,gonna,49,hey,47,monica,33,time,25,tulsa,25,people,22,guys,20,ross,19,wanna,16
Chandler,S10,hey,36,gonna,32,yeah,31,monica,22,joey,19,love,14,time,13,guys,13,house,12,baby,12
Joey,S01,hey,56,yeah,51,uh,38,ross,27,alright,21,gonna,20,guy,17,listen,15,chandler,15,wait,15
Joey,S02,hey,71,uh,55,yeah,53,chandler,23,gonna,23,ross,21,guy,21,ya,19,alright,19,huh,18
Joey,S03,hey,114,yeah,91,gonna,24,whoa,20,chandler,18,ross,18,guys,16,guy,16,ya,15,listen,15
