character,season,mot_1,freq_1,mot_2,freq_2,mot_3,freq_3,mot_4,freq_4,mot_5,freq_5,mot_6,freq_6,mot_7,freq_7,mot_8,freq_8,mot_9,freq_9,mot_10,freq_10
Chandler,ALL,yeah,316,hey,229,gonna,204,uh,118,time,82,monica,77,ross,73,guys,72,joey,70,god,66
Joey,ALL,yeah,596,hey,542,uh,230,gonna,200,ross,146,guys,120,chandler,87,huh,79,listen,75,gotta,66
Monica,ALL,yeah,266,hey,229,gonna,209,god,143,umm,112,phoebe,104,chandler,99,joey,88,guys,85,ross,79
Phoebe,ALL,yeah,483,hey,240,gonna,195,god,131,guys,109,umm,108,ooh,100,ross,93,time,80,rachel,77
Rachel,ALL,yeah,506,gonna,287,hey,199,ross,196,god,184,uh,141,guys,132,joey,126,umm,102,honey,101
Ross,ALL,yeah,523,hey,380,uh,327,gonna,212,guys,135,fine,107,time,93,umm,92,huh,88,god,83
Chandler,S01,hey,24,alright,20,uh,20,yeah,18,gonna,18,janice,15,fine,10,feel,9,wanna,9,time,9
Chandler,S02,gonna,3,hey,2,pants,2,sweetums,1,packaging,1,appeal,1,grown,1,kids,1,alike,1,dressed,1
Chandler,S03,yeah,40,gonna,21,hey,21,chick,11,ya,8,listen,7,god,7,janice,6,play,6,joey,6
Chandler,S04,yeah,45,hey,33,gonna,30,uh,25,joey,17,time,15,ross,14,kathy,12,guys,12,cool,11
Chandler,S05,yeah,56,hey,25,gonna,18,uh,14,monica,14,ross,13,pheebs,12,joey,11,bye,11,god,10
Chandler,S06,yeah,52,hey,45,gonna,34,uh,27,monica,20,god,15,guys,15,guy,13,perfect,10,joey,10
Chandler,S07,yeah,28,hey,23,gonna,21,monica,15,ross,13,love,12,wedding,11,uh,10,time,10,people,8
Chandler,S08,yeah,20,gonna,17,uh,12,hey,11,picture,10,honey,10,ready,8,time,7,god,7,fine,6
Chandler,S09,yeah,43,gonna,26,hey,23,time,15,monica,12,guys,11,honey,11,tulsa,10,alright,9,job,9
Chandler,S10,hey,22,gonna,16,yeah,14,love,10,game,8,house,7,feel,7,guys,7,honey,6,joey,6
Joey,S01,yeah,33,hey,31,alright,17,uh,16,ross,11,gonna,9,gotta,9,guys,8,day,7,tonight,7
Joey,S02,uh,3,bijan,3,hey,3,yeah,3,gotta,2,gonna,2,listen,2,kinda,2,guy,2,chandler,2
Joey,S03,yeah,62,hey,47,gonna,14,guys,12,totally,10,huh,10,whoa,9,wow,9,ross,9,cool,9
Joey,S04,yeah,76,hey,51,gonna,24,ross,22,uh,21,chandler,13,joey,12,wow,10,cool,9,listen,9
Joey,S05,yeah,84,hey,70,gonna,30,uh,27,ross,26,guys,16,pheebs,16,hand,16,chandler,13,ooh,12
Joey,S06,hey,75,yeah,68,uh,49,gonna,33,chandler,18,ross,17,huh,17,listen,15,guys,15,gotta,12
Joey,S07,yeah,72,hey,70,uh,34,gonna,24,guys,22,wow,13,ya,12,listen,12,monica,11,time,10
Joey,S08,yeah,75,hey,66,uh,50,gonna,29,ross,23,rachel,18,baby,17,wow,12,rach,12,chandler,12
Joey,S09,hey,74,yeah,59,guys,16,ross,15,gonna,15,alright,13,rach,11,god,11,uh,11,fine,10
Joey,S10,yeah,64,hey,55,gonna,20,guys,18,uh,14,alright,13,ross,13,love,9,baby,9,time,9
Monica,S01,yeah,33,gonna,19,alright,16,hey,15,guys,14,god,13,ross,11,nice,8,guy,8,uh,8
Monica,S02,uh,4,excellent,3,yeah,2,shopping,2,huh,2,guys,2,hair,2,god,2,unbelievably,1,expensive,1
Monica,S03,yeah,25,gonna,22,umm,16,god,15,hey,14,rachel,12,guys,12,guy,11,gotta,11,joey,10
Monica,S04,yeah,28,hey,25,umm,20,gonna,19,god,14,phoebe,11,bet,10,time,7,stuff,7,love,7
Monica,S05,hey,24,gonna,24,yeah,24,umm,19,joey,14,cute,11,phoebe,11,god,10,wow,9,guys,9
Monica,S06,yeah,36,hey,30,chandler,26,gonna,20,ross,16,god,14,guys,13,rachel,13,fine,11,joey,11
Monica,S07,yeah,32,hey,30,gonna,28,umm,24,wedding,24,7,19,phoebe,18,uh,15,chandler,15,time,14
Monica,S08,hey,36,yeah,31,gonna,27,god,22,umm,20,phoebe,15,joey,13,honey,13,baby,13,rachel,12
Monica,S09,hey,34,yeah,32,baby,22,honey,20,gonna,19,love,18,chandler,12,wow,12,phoebe,12,god,11
Monica,S10,god,31,gonna,30,yeah,23,hey,21,baby,19,joey,13,phoebe,13,chandler,13,guys,11,alright,11
Phoebe,S01,yeah,39,ooh,24,alright,14,gonna,14,hey,13,guys,11,uh,10,love,9,fine,7,guy,7
Phoebe,S02,ross,5,person,4,uh,3,bought,3,bras,3,love,3,god,3,huge,3,gonna,3,yeah,3
Phoebe,S03,yeah,72,hey,26,gonna,20,umm,16,wait,16,god,15,monica,12,phoebe,11,ross,11,play,10
Phoebe,S04,yeah,69,gonna,40,hey,30,umm,28,ooh,23,guys,22,god,17,ohh,13,wow,13,time,12
Phoebe,S05,yeah,56,hey,33,gonna,21,umm,16,joey,15,ohh,15,god,14,ooh,14,guys,13,wanna,11
Phoebe,S06,yeah,58,hey,30,gonna,20,rachel,20,ross,16,guy,13,guys,12,umm,11,ooh,10,chandler,10
Phoebe,S07,yeah,46,hey,31,god,15,gonna,15,guys,13,umm,13,time,11,joey,10,monica,10,ross,9
Phoebe,S08,yeah,50,hey,24,umm,21,gonna,17,god,17,baby,11,wait,11,fine,11,wow,10,guys,9
Phoebe,S09,yeah,50,mike,28,hey,26,god,19,gonna,19,rachel,14,wow,13,time,13,ross,12,guys,11
Phoebe,S10,yeah,40,hey,27,gonna,26,god,16,mike,12,love,12,joey,11,uhm,10,wait,10,time,9
Rachel,S01,yeah,34,god,22,gonna,17,guys,15,uh,15,monica,12,barry,12,nice,12,ross,11,cute,10
Rachel,S02,uh,4,gonna,4,julie,4,yeah,3,ross,3,monica,2,god,2,guys,2,happen,2,guy,2
Rachel,S03,yeah,56,ross,27,honey,24,gonna,22,god,17,fine,13,blah,13,hey,12,mark,12,guys,11
Rachel,S04,yeah,56,hey,27,gonna,24,ohh,22,joshua,18,umm,16,ross,15,guys,15,god,14,uh,13
Rachel,S05,yeah,75,gonna,39,hey,32,umm,25,honey,25,uh,25,ross,24,ohh,21,god,20,guys,17
Rachel,S06,yeah,65,hey,41,gonna,38,ross,31,god,24,wait,20,joey,20,uh,19,ohh,18,phoebe,16
Rachel,S07,yeah,72,uh,32,god,31,joey,30,hey,30,umm,29,gonna,29,phoebe,22,monica,21,ohh,18
Rachel,S08,yeah,61,gonna,44,ross,38,baby,26,god,24,hey,21,joey,18,wow,18,time,16,uh,14
