type,season,episode,top10
SAISON,S01,,know;like;well;out;uh;hey;right;think;here;thats
SAISON,S02,,know;ross;julie;well;how;like;god;gonna;then;about
SAISON,S03,,well;know;right;like;hey;get;go;out;thats;yknow
SAISON,S04,,right;well;hey;know;out;get;like;gonna;yknow;go
SAISON,S05,,right;well;hey;yknow;know;out;gonna;ross;get;about
SAISON,S06,,hey;well;out;right;know;gonna;get;yknow;ross;like
SAISON,S07,,well;right;hey;out;know;yknow;about;get;monica;joey
SAISON,S08,,well;hey;know;right;about;out;like;really;gonna;ross
SAISON,S09,,know;well;hey;about;really;like;thats;ross;right;get
SAISON,S10,,know;well;hey;gonna;really;were;joey;get;out;like
EPISODE,S01,E01,out;know;like;paul;right;well;if;guy;go;or
EPISODE,S01,E02,know;uh;well;like;ew;look;how;god;monica;mean
EPISODE,S01,E03,like;hey;about;know;good;think;alan;alright;yknow;out
EPISODE,S01,E04,got;if;see;look;ross;like;uh;were;joey;guys
EPISODE,S01,E05,know;uh;there;right;like;go;well;bob;here;night
EPISODE,S01,E06,out;like;look;yknow;well;guys;cmon;here;his;alright
EPISODE,S01,E07,go;jill;out;about;god;something;phone;well;an;never
EPISODE,S01,E08,uh;shes;think;rome;about;well;yknow;know;mean;nana
EPISODE,S01,E09,hey;know;thanksgiving;got;uh;shoop;go;well;ooh;here
EPISODE,S01,E10,gonna;new;like;hi;guys;yknow;pact;hey;mean;wanna
EPISODE,S01,E11,mom;shes;hes;hey;think;his;yknow;well;guy;mean
EPISODE,S01,E12,know;ross;think;well;about;want;right;hey;mean;like
EPISODE,S01,E13,why;know;yknow;were;hey;like;dad;one;thats;right
EPISODE,S01,E14,egg;know;go;out;right;janice;friend;get;night;uh
EPISODE,S01,E15,know;going;want;well;like;hey;an;monica;really;listens
EPISODE,S01,E16,know;like;well;got;right;out;ive;um;err;now
EPISODE,S01,E17,ow;know;rachel;well;laugh;tiny;gonna;hi;baby;um
EPISODE,S01,E18,alright;uh;know;poker;like;play;cards;guys;well;rachel
EPISODE,S01,E19,marcel;gonna;yknow;uh;like;monkey;go;there;one;right
EPISODE,S01,E20,right;like;listens;uh;look;god;phone;got;mean;call
EPISODE,S01,E21,monica;think;marcel;get;hes;mean;know;yknow;thats;like
EPISODE,S01,E22,know;right;like;uh;tell;bye;why;well;were;see
EPISODE,S01,E23,here;baby;get;when;uh;know;shes;like;hey;listens
EPISODE,S01,E24,know;hey;like;gonna;mean;well;got;out;there;uh
EPISODE,S02,E01,know;julie;ross;well;god;how;gonna;like;about;when
EPISODE,S02,E02,uh;monica;know;hey;bijan;if;one;men;were;shopping
EPISODE,S02,E09,hey
EPISODE,S03,E01,know;like;look;janice;ross;well;right;hey;um;why
EPISODE,S03,E02,know;right;well;get;look;go;out;there;entering;if
EPISODE,S03,E03,know;look;jam;well;hey;thats;like;get;mean;his
EPISODE,S03,E04,know;well;phone;get;go;see;why;like;thats;right
EPISODE,S03,E05,yknow;well;hey;get;right;know;like;ah;thats;gonna
EPISODE,S03,E06,well;out;hey;think;know;really;ah;some;thats;right
EPISODE,S03,E07,right;like;hey;well;bed;one;ross;if;thats;please
EPISODE,S03,E08,one;ben;go;well;were;cant;right;here;tell;get
EPISODE,S03,E09,right;play;come;go;yknow;chandler;well;get;lets;ball
EPISODE,S03,E10,well;ah;out;one;hey;right;go;their;boxes;how
EPISODE,S03,E11,right;well;know;how;out;yknow;got;card;one;thats
EPISODE,S03,E12,get;think;right;ross;why;hes;hey;mark;like;well
EPISODE,S03,E13,right;hey;ah;gonna;thats;going;yknow;well;little;out
EPISODE,S03,E14,ah;well;yknow;like;thats;out;ginger;go;see;phoebe
EPISODE,S03,E15,well;hey;yknow;there;right;time;come;get;about;ross
EPISODE,S03,E16,think;right;about;hey;god;gonna;rachel;ross;get;one
EPISODE,S03,E17,rachel;ross;well;yknow;chandler;go;hey;guys;out;were
EPISODE,S03,E18,yknow;out;get;go;mean;gonna;right;well;married;hes
EPISODE,S03,E19,like;mean;ross;yknow;out;hey;right;petty;ah;his
EPISODE,S03,E20,hey;house;well;like;ah;chandler;dollhouse;thats;look;want
EPISODE,S03,E21,hey;like;go;chick;right;god;gonna;well;back;mean
EPISODE,S03,E22,hey;one;uh;two;gonna;were;like;here;thats;play
EPISODE,S03,E23,well;yknow;like;know;guys;hes;hey;go;right;them
EPISODE,S03,E24,like;well;his;yknow;go;ah;tell;right;ross;hey
EPISODE,S03,E25,hey;well;phoebe;like;look;thats;know;yknow;right;out
EPISODE,S04,E01,well;go;about;out;know;does;happened;back;how;rachel
EPISODE,S04,E02,chip;out;right;cat;rachel;listens;how;gonna;get;mom
EPISODE,S04,E03,get;gonna;know;out;well;good;come;think;here;if
EPISODE,S04,E04,out;go;right;there;gonna;cry;hey;thats;gym;like
EPISODE,S04,E05,hey;kathy;right;out;go;get;pretty;hi;yknow;chandler
EPISODE,S04,E06,like;get;know;something;well;hey;uh;right;go;look
EPISODE,S04,E07,kathy;mean;yknow;really;out;like;think;uh;right;sound
EPISODE,S04,E08,get;hey;like;know;out;joey;look;phone;got;about
EPISODE,S04,E09,gonna;well;gandolf;out;an;hey;know;right;go;were
EPISODE,S04,E10,hey;like;yknow;well;know;really;joey;right;gonna;rachel
EPISODE,S04,E11,get;well;right;know;chandler;if;monica;guys;how;thats
EPISODE,S04,E12,get;well;right;know;chandler;if;monica;guys;how;thats
EPISODE,S04,E13,well;hey;gonna;right;like;look;there;how;here;out
EPISODE,S04,E14,right;ohh;go;hey;one;there;well;his;out;back
EPISODE,S04,E15,know;like;right;joey;there;ross;well;hey;here;thats
EPISODE,S04,E16,yknow;thats;well;know;like;eat;meat;party;yes;out
EPISODE,S04,E17,one;well;go;going;love;hey;out;porn;right;gonna
EPISODE,S04,E18,hey;name;like;well;yknow;susan;joey;if;right;really
EPISODE,S04,E19,know;right;here;mean;hey;apartment;come;like;guy;tickets
EPISODE,S04,E20,joey;yknow;hey;right;mean;uh;really;well;like;know
EPISODE,S04,E21,ross;hey;know;something;get;yknow;about;were;mean;everest
EPISODE,S04,E22,man;get;hey;gonna;party;best;ring;chandler;well;one
EPISODE,S04,E23,here;hey;right;ross;go;his;know;get;come;yknow
EPISODE,S05,E01,right;well;emily;ross;yknow;think;mean;hey;said;didnt
EPISODE,S05,E02,out;rachel;yknow;hey;gonna;ross;right;had;some;well
EPISODE,S05,E03,umm;out;get;hi;babies;yknow;hey;one;right;gonna
EPISODE,S05,E04,good;gonna;well;thats;emily;right;yknow;guy;if;sorry
EPISODE,S05,E05,hey;out;know;yknow;were;well;how;rachel;here;hi
EPISODE,S05,E06,hey;yknow;like;if;know;ross;about;emily;sorry;coat
EPISODE,S05,E07,right;know;out;hey;hes;go;his;get;gonna;larry
EPISODE,S05,E08,out;like;thanksgiving;joey;know;chandler;right;well;thats;worse
EPISODE,S05,E09,well;sandwich;joey;going;know;really;didnt;hey;phoebe;his
EPISODE,S05,E10,going;hey;right;out;joey;cant;ohh;know;get;ross
EPISODE,S05,E11,well;right;kiss;joey;ross;gonna;one;new;his;chandler
EPISODE,S05,E12,know;hey;monica;about;work;yknow;right;think;out;laugh
EPISODE,S05,E13,right;look;bag;well;gonna;like;yknow;umm;hey;joey
EPISODE,S05,E14,know;well;hey;phoebe;yknow;out;them;chandler;joey;monica
EPISODE,S05,E15,know;right;ross;hey;chandler;were;out;yknow;get;like
EPISODE,S05,E16,hey;right;yknow;come;couch;here;joey;monica;thats;were
EPISODE,S05,E17,back;right;monica;see;hot;there;girl;over;his;out
EPISODE,S05,E18,ben;get;one;gonna;like;well;go;hey;great;audition
EPISODE,S05,E19,like;flirting;right;get;smiling;know;here;hey;going;well
EPISODE,S05,E20,ross;right;hey;yknow;please;want;mean;sandwich;gary;get
EPISODE,S05,E21,cat;gonna;right;hey;ball;think;like;when;get;little
EPISODE,S05,E22,right;hey;eye;out;know;or;go;well;gonna;richard
EPISODE,S05,E23,right;hey;out;go;chandler;get;richard;joey;here;yknow
EPISODE,S06,E01,married;get;well;ross;about;gonna;right;hey;were;think
EPISODE,S06,E02,hey;gonna;rachel;go;ross;get;were;well;phoebe;out
EPISODE,S06,E03,about;room;hey;gonna;mean;love;thats;out;place;roommate
EPISODE,S06,E04,hey;uh;gonna;rachel;yknow;ross;well;out;know;one
EPISODE,S06,E05,well;when;right;out;think;about;here;gonna;keys;still
EPISODE,S06,E06,well;rachel;gonna;hey;right;now;guys;get;out;joey
EPISODE,S06,E07,gonna;know;well;right;like;out;hey;uh;get;look
EPISODE,S06,E08,know;hey;out;come;ralph;look;like;really;thats;well
EPISODE,S06,E09,like;why;well;know;chandler;then;ross;really;yknow;them
EPISODE,S06,E10,hey;like;thats;look;gonna;why;about;years;christmas;were
EPISODE,S06,E11,hey;like;yknow;pottery;know;table;barn;well;guys;shes
EPISODE,S06,E12,joke;know;out;right;going;go;hey;rachel;think;look
EPISODE,S06,E13,ross;jill;hey;sick;yknow;gonna;joey;thats;get;well
EPISODE,S06,E14,cant;uh;right;out;hey;ross;mean;if;know;crying
EPISODE,S06,E15,hey;right;yknow;if;well;god;rachel;joey;his;uh
EPISODE,S06,E17,yknow;one;well;out;make;hey;get;an;like;unagi
EPISODE,S06,E18,well;joey;hey;thursday;like;out;one;right;now;chandler
EPISODE,S06,E19,guy;well;guys;our;know;hey;has;right;fridge;great
EPISODE,S06,E20,well;gonna;joey;right;really;get;thats;yes;know;like
EPISODE,S06,E21,uh;guys;hey;about;like;know;ross;out;paul;mean
